No.,Entry Time,First Exit Time,Second Exit Time,Weighted PnL%,Combined Score,Signal Type,Static High Used,Static Low Used,"High (m,n)","Low (m,n)"
1,2023-10-06 11:00:00,2023-10-11 11:00:00,,-5.6587,0.2487,Normal,False,True,"(11.00, 11.00)","(4.00, 4.00)"
2,2023-11-14 11:00:00,2023-11-15 11:00:00,2024-03-13 11:00:00,47.382,0.1483,Trending,False,True,"(7.00, 7.00)","(4.00, 4.00)"
3,2023-11-16 11:00:00,2023-11-19 11:00:00,2024-03-15 11:00:00,43.1288,0.1072,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
4,2023-11-22 11:00:00,2023-11-24 11:00:00,2024-03-21 11:00:00,40.397,0.1072,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
5,2024-01-03 11:00:00,2024-01-04 11:00:00,2024-01-22 11:00:00,4.5669,0.1072,Trending,True,False,"(4.00, 4.00)","(5.00, 5.00)"
6,2024-01-11 11:00:00,2024-01-12 11:00:00,,-9.3206,0.1072,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
7,2024-01-19 11:00:00,2024-01-22 11:00:00,,-6.0219,0.0999,Normal,True,False,"(4.00, 4.00)","(4.60, 4.60)"
8,2024-01-26 11:00:00,2024-01-29 11:00:00,2024-05-25 10:00:00,31.6812,0.0999,Normal,True,False,"(4.00, 4.00)","(4.60, 4.60)"
9,2024-03-17 11:00:00,2024-03-19 11:00:00,,-11.1282,0.0894,Trending,False,True,"(4.00, 4.00)","(4.00, 4.00)"
10,2024-03-21 11:00:00,2024-03-25 11:00:00,2024-04-30 10:00:00,4.0687,0.0894,Trending,False,True,"(4.00, 4.00)","(4.00, 4.00)"
11,2024-03-24 11:00:00,2024-03-25 11:00:00,2024-04-17 10:00:00,3.4025,0.0894,Trending,False,True,"(4.00, 4.00)","(4.00, 4.00)"
12,2024-04-04 11:00:00,2024-04-08 10:00:00,2024-04-13 10:00:00,2.9737,0.0894,Trending,False,True,"(4.00, 4.00)","(4.00, 4.00)"
13,2024-04-13 10:00:00,2024-04-15 10:00:00,2024-05-01 10:00:00,4.3099,0.3376,Trending,True,False,"(4.00, 4.00)","(14.00, 14.00)"
